10:09:22] Receive successfull.(127.0.0.1:51874 / 127.0.0.1:30719 = 1032)
10:09:32] Receive successfull.(127.0.0.1:51876 / 127.0.0.1:30719 = 1032)
10:09:59] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:51915)
16:08:27] Receive successfull.(127.0.0.1:65131 / 127.0.0.1:30719 = 1032)
16:08:33] Receive successfull.(127.0.0.1:65133 / 127.0.0.1:30719 = 1032)
16:10:07] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:65155)
16:14:07] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:65225)
16:18:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:65370)
16:22:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:65438)
16:26:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1035)
16:30:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1166)
16:34:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1450)
16:38:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1557)
16:42:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1627)
16:46:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1724)
16:50:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1813)
16:54:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1878)
16:58:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:1987)
17:02:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:2117)
17:06:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:2426)
17:10:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:2605)
17:14:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:2729)
17:18:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3039)
17:22:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3184)
17:26:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3255)
17:30:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3404)
17:34:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3542)
17:38:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3610)
17:42:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3655)
17:46:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3704)
17:50:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3731)
17:54:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3769)
17:58:08] ** socket read size zero.(192.168.0.138:31843 / 192.168.0.138:3808)
